model,mean_auc,std_auc,median_auc,min_auc,max_auc,n_folds
char_logistic_plus_word_svm,0.6810390888638921,0.0896979152875331,0.6687992125984252,0.49212598425196846,0.8700787401574803,50
char_svm_plus_word_svm_plus_char_logistic,0.6657241282339708,0.10325261632030791,0.6580075928008999,0.4201349831271092,0.8671259842519685,50
word_svm,0.6476743532058492,0.09359382254909848,0.6490438695163104,0.4353205849268842,0.8616422947131609,50
logistic_blend_75char_25word,0.6412457817772779,0.08545159687084462,0.6313273340832396,0.49943757030371205,0.84251968503937,50
svm_blend_50char_50word,0.6401940382452193,0.10156213585750823,0.6263006186726658,0.4714566929133858,0.8449803149606299,50
logistic_blend_50char_50word,0.6304780652418448,0.08805900687283753,0.6220472440944882,0.484814398200225,0.8346456692913387,50
char_logistic,0.6276982564679416,0.09957458592954689,0.640255905511811,0.40382452193475815,0.8257874015748032,50
logistic_blend_25char_75word,0.6223622047244095,0.09092658264900118,0.6226096737907763,0.4499437570303712,0.8368953880764904,50
word_logistic,0.6181552305961755,0.09219394707907448,0.6209223847019123,0.43757030371203604,0.8368953880764904,50
char_svm,0.6062767154105736,0.10737701841706149,0.5968082114735658,0.3813273340832396,0.8149606299212598,50
